"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","700","AR","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","CS","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","D","D","Warten auf Versand","Aufteilen"
"2","ClickShipCollect2","DOO","2","700","DK","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","E","E","Esperar envío","Fraccionar"
"2","ClickShipCollect2","DOO","2","700","EL","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","ESA","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","ET","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","F","F","Attendre l'expédition","Fractionner"
"2","ClickShipCollect2","DOO","2","700","FRC","FRC","Attendre l'expédition","Fractionner"
"2","ClickShipCollect2","DOO","2","700","HR","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","HU","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","I","I","Attendere la spedizione","Dividere"
"2","ClickShipCollect2","DOO","2","700","IS","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","IW","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","JA","JA","出荷待ち","分割"
"2","ClickShipCollect2","DOO","2","700","KO","KO","운송대기","분열"
"2","ClickShipCollect2","DOO","2","700","LT","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","LV","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","N","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","NL","NL","Wacht op verzending","Split"
"2","ClickShipCollect2","DOO","2","700","PL","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","PT","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","PTB","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","RO","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","RU","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","S","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","SF","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","SK","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","SL","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","TH","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","TR","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","UK","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","US","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","VN","US","Wait for Shipment","Split"
"2","ClickShipCollect2","DOO","2","700","ZHS","ZHS","等待发运","拆分"
"2","ClickShipCollect2","DOO","2","700","ZHT","ZHT","等待發隕","拆分"
"2","ClickShipCollect2","DOO","2","600","AR","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","CS","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","D","D","Versenden an Kunden","Aufteilen"
"2","ClickShipCollect2","DOO","2","600","DK","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","E","E","Cliente de envío","Fraccionar"
"2","ClickShipCollect2","DOO","2","600","EL","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","ESA","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","ET","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","F","F","Expédier au client","Fractionner"
"2","ClickShipCollect2","DOO","2","600","FRC","FRC","Expédier au client","Fractionner"
"2","ClickShipCollect2","DOO","2","600","HR","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","HU","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","I","I","Spedizione al cliente","Dividere"
"2","ClickShipCollect2","DOO","2","600","IS","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","IW","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","JA","JA","出荷","分割"
"2","ClickShipCollect2","DOO","2","600","KO","KO","고객에게 운송","분열"
"2","ClickShipCollect2","DOO","2","600","LT","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","LV","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","N","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","NL","NL","Verzenden aan klant","Split"
"2","ClickShipCollect2","DOO","2","600","PL","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","PT","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","PTB","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","RO","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","RU","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","S","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","SF","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","SK","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","SL","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","TH","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","TR","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","UK","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","US","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","VN","US","Ship to Customer","Split"
"2","ClickShipCollect2","DOO","2","600","ZHS","ZHS","发运给客户","拆分"
"2","ClickShipCollect2","DOO","2","600","ZHT","ZHT","發隕個客戶","拆分"
"2","ClickShipCollect2","DOO","2","900","AR","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","CS","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","D","D","An Kunden geliefert","Aufteilen"
"2","ClickShipCollect2","DOO","2","900","DK","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","E","E","Entregado a cliente","Fraccionar"
"2","ClickShipCollect2","DOO","2","900","EL","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","ESA","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","ET","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","F","F","Livré au client","Fractionner"
"2","ClickShipCollect2","DOO","2","900","FRC","FRC","Livré au client","Fractionner"
"2","ClickShipCollect2","DOO","2","900","HR","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","HU","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","I","I","Consegnato al Cliente","Dividere"
"2","ClickShipCollect2","DOO","2","900","IS","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","IW","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","JA","JA","顧客配送済","分割"
"2","ClickShipCollect2","DOO","2","900","KO","KO","고객에게 전달","분열"
"2","ClickShipCollect2","DOO","2","900","LT","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","LV","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","N","US","Delivered to Customer","Split"
"2","ClickShipCollect2","DOO","2","900","NL","NL","Afgeleverd bij klant","Split"
"2","ClickShipCollect2","DOO","2","900","PL","US","Delivered to Customer","Split"
